data,label,word_token
mardani sera kemenangan sosial media kemenangan dunia nyata,0,"['mardani', 'sera', 'kemenangan', 'sosial', 'media', 'kemenangan', 'dunia', 'nyata']"
kafe sekaramg penginapan boutique hotel travel bareng anak anak suka menginap playground seru swimming pool high rope flying menginap tiket gratis petik stroberi pesan suka ramai menginap pilihan kamar enak,1,"['kafe', 'sekaramg', 'penginapan', 'boutique', 'hotel', 'travel', 'bareng', 'anak', 'anak', 'suka', 'menginap', 'playground', 'seru', 'swimming', 'pool', 'high', 'rope', 'flying', 'menginap', 'tiket', 'gratis', 'petik', 'stroberi', 'pesan', 'suka', 'ramai', 'menginap', 'pilihan', 'kamar', 'enak']"
selamat pagi kecewa berat indihome internet kocek bayar mahal kecewakan pelanggan,-1,"['selamat', 'pagi', 'kecewa', 'berat', 'indihome', 'internet', 'kocek', 'bayar', 'mahal', 'kecewakan', 'pelanggan']"
pokok afdol lembang bandung mampir humas kampung daun,1,"['pokok', 'afdol', 'lembang', 'bandung', 'mampir', 'humas', 'kampung', 'daun']"
bandung supermall fasilitas lengkap luas jarang ditemukan dikfc keramahtamaan karyawan bagus,1,"['bandung', 'supermall', 'fasilitas', 'lengkap', 'luas', 'jarang', 'ditemukan', 'dikfc', 'keramahtamaan', 'karyawan', 'bagus']"
restoran sapu lidi memilik keunikan tersendiri serasa makan sawah dikelilingin kolam ikan nuansa persawahan menu makanan sunda menu favorit jamur bakar enak banget,1,"['restoran', 'sapu', 'lidi', 'memilik', 'keunikan', 'tersendiri', 'serasa', 'makan', 'sawah', 'dikelilingin', 'kolam', 'ikan', 'nuansa', 'persawahan', 'menu', 'makanan', 'sunda', 'menu', 'favorit', 'jamur', 'bakar', 'enak', 'banget']"
enak black cocol sayap ayam mantap makan camilan,1,"['enak', 'black', 'cocol', 'sayap', 'ayam', 'mantap', 'makan', 'camilan']"
nkri bersyariah revolusi akhlaq suara keadilan laugh tersandung ulama tersandung obrolan mesum berani pulang nkri bersyariah mengamalkan pancasila sungguh miris,-1,"['nkri', 'bersyariah', 'revolusi', 'akhlaq', 'suara', 'keadilan', 'laugh', 'tersandung', 'ulama', 'tersandung', 'obrolan', 'mesum', 'berani', 'pulang', 'nkri', 'bersyariah', 'mengamalkan', 'pancasila', 'sungguh', 'miris']"
bikin macet orang,-1,"['bikin', 'macet', 'orang']"
singapura selidiki penjualan indonesia situs daring,0,"['singapura', 'selidiki', 'penjualan', 'indonesia', 'situs', 'daring']"
pergi merayakan ulang berkesan istri memilih menu makanan variatif makanan barat lokal sedia baju hangat dingin,1,"['pergi', 'merayakan', 'ulang', 'berkesan', 'istri', 'memilih', 'menu', 'makanan', 'variatif', 'makanan', 'barat', 'lokal', 'sedia', 'baju', 'hangat', 'dingin']"
memilih orang pengecut prabowo memimpin negara,-1,"['memilih', 'orang', 'pengecut', 'prabowo', 'memimpin', 'negara']"
iklan perbaiki jaringan lamban,-1,"['iklan', 'perbaiki', 'jaringan', 'lamban']"
orang tiongkok masuk indonesia maju andalkan orang pribumi otak jongkok,-1,"['orang', 'tiongkok', 'masuk', 'indonesia', 'maju', 'andalkan', 'orang', 'pribumi', 'otak', 'jongkok']"
cepat respon pengiriman kilat ramah berputar putar toko bertemu toko juragan pelayanan memuaskan tangkap juragan,1,"['cepat', 'respon', 'pengiriman', 'kilat', 'ramah', 'berputar', 'putar', 'toko', 'bertemu', 'toko', 'juragan', 'pelayanan', 'memuaskan', 'tangkap', 'juragan']"
pencitraan basi gaya wibawa seragam coklat anies,-1,"['pencitraan', 'basi', 'gaya', 'wibawa', 'seragam', 'coklat', 'anies']"
teman teman suasana menyenangkan pemandangan bagus hawa dingin menyegarkan malam steak enak,1,"['teman', 'teman', 'suasana', 'menyenangkan', 'pemandangan', 'bagus', 'hawa', 'dingin', 'menyegarkan', 'malam', 'steak', 'enak']"
debut bagus bikin suka tonight saranghajima mengerti merasakan winner abang bigbang nyanyi jiwa ikutan nyanyi bagus banget cinta sifat sikap,1,"['debut', 'bagus', 'bikin', 'suka', 'tonight', 'saranghajima', 'mengerti', 'merasakan', 'winner', 'abang', 'bigbang', 'nyanyi', 'jiwa', 'ikutan', 'nyanyi', 'bagus', 'banget', 'cinta', 'sifat', 'sikap']"
melelahkan malam,-1,"['melelahkan', 'malam']"
marah,-1,['marah']
pilih pilih prabowo maksude pilih jokowi partai banteng moncong tepung grinningfacewithsmilingeyes,-1,"['pilih', 'pilih', 'prabowo', 'maksude', 'pilih', 'jokowi', 'partai', 'banteng', 'moncong', 'tepung', 'grinningfacewithsmilingeyes']"
puas servis ramah harga sebanding pelayanan pemandangan keren banget cocok acara ngumpul bareng teman keluarga pokok rekomendasi menyesal pokok dilayani feriyana super ramah pokok teman teman th recommened,1,"['puas', 'servis', 'ramah', 'harga', 'sebanding', 'pelayanan', 'pemandangan', 'keren', 'banget', 'cocok', 'acara', 'ngumpul', 'bareng', 'teman', 'keluarga', 'pokok', 'rekomendasi', 'menyesal', 'pokok', 'dilayani', 'feriyana', 'super', 'ramah', 'pokok', 'teman', 'teman', 'th', 'recommened']"
kali makan abuba steak jakarta berbeda nikmati abuba steak jakarta enak suasana restoran toilet diperbaharui,-1,"['kali', 'makan', 'abuba', 'steak', 'jakarta', 'berbeda', 'nikmati', 'abuba', 'steak', 'jakarta', 'enak', 'suasana', 'restoran', 'toilet', 'diperbaharui']"
jaringan jelek banget,-1,"['jaringan', 'jelek', 'banget']"
puas games mobile legend,1,"['puas', 'games', 'mobile', 'legend']"
rekan kerja sengaja mencoba makan siang sambal khas karmila buah batu bandung terbilang cozzy nyaman lantai lantai dasar makan makanan cepat saji penuh hiruk pikuk pelanggan ayam bakar rekomendasikan sambal mangga terkait harga terbilang relative,1,"['rekan', 'kerja', 'sengaja', 'mencoba', 'makan', 'siang', 'sambal', 'khas', 'karmila', 'buah', 'batu', 'bandung', 'terbilang', 'cozzy', 'nyaman', 'lantai', 'lantai', 'dasar', 'makan', 'makanan', 'cepat', 'saji', 'penuh', 'hiruk', 'pikuk', 'pelanggan', 'ayam', 'bakar', 'rekomendasikan', 'sambal', 'mangga', 'terkait', 'harga', 'terbilang', 'relative']"
kuah bakso asin enakan dijual keliling malang bagus menjamu teman lokasi ramai bakso menyediakan capcay nasi goreng enak,1,"['kuah', 'bakso', 'asin', 'enakan', 'dijual', 'keliling', 'malang', 'bagus', 'menjamu', 'teman', 'lokasi', 'ramai', 'bakso', 'menyediakan', 'capcay', 'nasi', 'goreng', 'enak']"
warga jakarta malu kang oknum bertanggung sweeping bobotoh,-1,"['warga', 'jakarta', 'malu', 'kang', 'oknum', 'bertanggung', 'sweeping', 'bobotoh']"
tenderloin steak juara mudah diakses memaki tersembunyi nyaman tema zaman ramai pelayanan,1,"['tenderloin', 'steak', 'juara', 'mudah', 'diakses', 'memaki', 'tersembunyi', 'nyaman', 'tema', 'zaman', 'ramai', 'pelayanan']"
salah restoran chinese masakan kepiting favorit juara pesan kepiting rebus babat toge kangkung,1,"['salah', 'restoran', 'chinese', 'masakan', 'kepiting', 'favorit', 'juara', 'pesan', 'kepiting', 'rebus', 'babat', 'toge', 'kangkung']"
cebong menuduh mencuri uang sedekah silakan urus aris wahyudi ambil komisi transaksi pelacuran berkedok agama berani membulat aris wahyudi berani jonru,-1,"['cebong', 'menuduh', 'mencuri', 'uang', 'sedekah', 'silakan', 'urus', 'aris', 'wahyudi', 'ambil', 'komisi', 'transaksi', 'pelacuran', 'berkedok', 'agama', 'berani', 'membulat', 'aris', 'wahyudi', 'berani', 'jonru']"
menarik pilkada jawa barat ridwan kamil berpasangan tokoh universe,1,"['menarik', 'pilkada', 'jawa', 'barat', 'ridwan', 'kamil', 'berpasangan', 'tokoh', 'universe']"
suasana kantor bogor menjelang pidato,0,"['suasana', 'kantor', 'bogor', 'menjelang', 'pidato']"
djarum kuat kerasa bagus bakaran,-1,"['djarum', 'kuat', 'kerasa', 'bagus', 'bakaran']"
bakmi tasik teman mampir coba bakmi bakso makanan special,-1,"['bakmi', 'tasik', 'teman', 'mampir', 'coba', 'bakmi', 'bakso', 'makanan', 'special']"
lokasi pandan wangi pusat kota bandung terjangkau menit jalan asia afrika patokan jalan jalan talaga bodas tinggal mencari papan petunjuk pandan wangi siang orang kebanyakan keluarga anak anak menunggu disajikan gorengan singkong lumayan enak,1,"['lokasi', 'pandan', 'wangi', 'pusat', 'kota', 'bandung', 'terjangkau', 'menit', 'jalan', 'asia', 'afrika', 'patokan', 'jalan', 'jalan', 'talaga', 'bodas', 'tinggal', 'mencari', 'papan', 'petunjuk', 'pandan', 'wangi', 'siang', 'orang', 'kebanyakan', 'keluarga', 'anak', 'anak', 'menunggu', 'disajikan', 'gorengan', 'singkong', 'lumayan', 'enak']"
kalinya eatalia teman orang anak memsungkan memlilih makanan anak menyediakan menu porsi anak memesan cheese bacon deluxe pizza roti berwarna hitam menu pesan mengecewakan,1,"['kalinya', 'eatalia', 'teman', 'orang', 'anak', 'memsungkan', 'memlilih', 'makanan', 'anak', 'menyediakan', 'menu', 'porsi', 'anak', 'memesan', 'cheese', 'bacon', 'deluxe', 'pizza', 'roti', 'berwarna', 'hitam', 'menu', 'pesan', 'mengecewakan']"
lumayan sambel enak disajikan model pilihan makan gurame kakap bawal kerang cumi udang macem macem pesan ikan kembung,1,"['lumayan', 'sambel', 'enak', 'disajikan', 'model', 'pilihan', 'makan', 'gurame', 'kakap', 'bawal', 'kerang', 'cumi', 'udang', 'macem', 'macem', 'pesan', 'ikan', 'kembung']"
berlokasi salah belanja rekreasi cihampelas wali bandung resto mengecewakan sajian beragam resto menyajikan enak nikmat cocok bersantap pasangan keluarga,1,"['berlokasi', 'salah', 'belanja', 'rekreasi', 'cihampelas', 'wali', 'bandung', 'resto', 'mengecewakan', 'sajian', 'beragam', 'resto', 'menyajikan', 'enak', 'nikmat', 'cocok', 'bersantap', 'pasangan', 'keluarga']"
dizaman mbak mbak online shop aplikasi gojek gocar gosend allah bodoh jualan dihutan,-1,"['dizaman', 'mbak', 'mbak', 'online', 'shop', 'aplikasi', 'gojek', 'gocar', 'gosend', 'allah', 'bodoh', 'jualan', 'dihutan']"
restoran terletak stategis jalan dago sebelah hotel holiday sesuai judul restoran menyediakan menu masakan aceh favorit aceh harga standar mahal lupa coba roti canai,1,"['restoran', 'terletak', 'stategis', 'jalan', 'dago', 'sebelah', 'hotel', 'holiday', 'sesuai', 'judul', 'restoran', 'menyediakan', 'menu', 'masakan', 'aceh', 'favorit', 'aceh', 'harga', 'standar', 'mahal', 'lupa', 'coba', 'roti', 'canai']"
bihun goreng enak minyak makanan mengandung babi halal tawar porsi memuaskan,1,"['bihun', 'goreng', 'enak', 'minyak', 'makanan', 'mengandung', 'babi', 'halal', 'tawar', 'porsi', 'memuaskan']"
lokasi ditelepon diangkat email auto reply rekomendasi sadar something mampir kantor cerita held hotel ruang sebelah kondangan they told that without remorse,-1,"['lokasi', 'ditelepon', 'diangkat', 'email', 'auto', 'reply', 'rekomendasi', 'sadar', 'something', 'mampir', 'kantor', 'cerita', 'held', 'hotel', 'ruang', 'sebelah', 'kondangan', 'they', 'told', 'that', 'without', 'remorse']"
sate kambing gulai kambing maknyus penyajian makannan cepat bersih,1,"['sate', 'kambing', 'gulai', 'kambing', 'maknyus', 'penyajian', 'makannan', 'cepat', 'bersih']"
hotel mongkok hongkong juni booked bayar kamar hotel ditemukan,-1,"['hotel', 'mongkok', 'hongkong', 'juni', 'booked', 'bayar', 'kamar', 'hotel', 'ditemukan']"
poach salmon enak pelayanan enak scenery mantap tank amanda worth banget,1,"['poach', 'salmon', 'enak', 'pelayanan', 'enak', 'scenery', 'mantap', 'tank', 'amanda', 'worth', 'banget']"
orang cina makanan legendaris banget orang cina makanan enak enak parkir aujubila susah parkir seberang resto trotoar sabar sedih,-1,"['orang', 'cina', 'makanan', 'legendaris', 'banget', 'orang', 'cina', 'makanan', 'enak', 'enak', 'parkir', 'aujubila', 'susah', 'parkir', 'seberang', 'resto', 'trotoar', 'sabar', 'sedih']"
makan restoran pizza enak teman menikmati paket sensasi delight harga terjangkau kalangan,1,"['makan', 'restoran', 'pizza', 'enak', 'teman', 'menikmati', 'paket', 'sensasi', 'delight', 'harga', 'terjangkau', 'kalangan']"
hasil quick count pilgub kaltim isran hadi unggul,0,"['hasil', 'quick', 'count', 'pilgub', 'kaltim', 'isran', 'hadi', 'unggul']"
jerat buni yani undang undang video berasal youtube diunggah pemprov kena undang undang pemprov buni yani,-1,"['jerat', 'buni', 'yani', 'undang', 'undang', 'video', 'berasal', 'youtube', 'diunggah', 'pemprov', 'kena', 'undang', 'undang', 'pemprov', 'buni', 'yani']"
paket mantap megah makan dijamin keren bravo,1,"['paket', 'mantap', 'megah', 'makan', 'dijamin', 'keren', 'bravo']"
gubernuran jembatan penyebrangan gang makanan zaman kuah lontong kari kental manis cocok acar meja porsi mengenyangkan,1,"['gubernuran', 'jembatan', 'penyebrangan', 'gang', 'makanan', 'zaman', 'kuah', 'lontong', 'kari', 'kental', 'manis', 'cocok', 'acar', 'meja', 'porsi', 'mengenyangkan']"
jalan braga lumayan enak nongkrong live musik makanan lumayan,1,"['jalan', 'braga', 'lumayan', 'enak', 'nongkrong', 'live', 'musik', 'makanan', 'lumayan']"
pengguna setia produk kecewa banget pelayanan pusat servis asus jujur menyepelekan pendapat pelanggan,-1,"['pengguna', 'setia', 'produk', 'kecewa', 'banget', 'pelayanan', 'pusat', 'servis', 'asus', 'jujur', 'menyepelekan', 'pendapat', 'pelanggan']"
